feature,importance_mean,importance_std
avg_delivery_days,0.18498242606146778,0.0030699891772394024
total_freight,0.02780026328260763,0.0017504702626305387
late_delivery_rate,0.024317714004879577,0.001378559032148554
total_order_value,0.005173733522896851,0.0008544057909442937
avg_order_value,0.0036824278166851633,0.0006236340549407514
avg_freight_ratio,0.0033782247731382496,0.00039821867313162535
avg_review_score,0.0018128727642919285,0.00047379081203198666
low_satisfaction_rate,0.00047568778193187724,0.00010919394843561467
total_orders,1.6011795060877353e-05,5.7157425569760376e-05
