risk_segment,customers,avg_churn_probability,actual_churn_rate,avg_orders,avg_order_value,avg_delivery_days,avg_review_score
Low Risk,2708,0.22986743910825513,40.21418020679468,1.1030280649926145,374.33543428124574,7.707514964825138,4.155938468444985
Medium Risk,65225,0.4545398585493055,66.30893062476045,1.0375929474894596,148.83587658508097,8.77275352785808,4.3382190707380435
High Risk,24820,0.7197598239692119,85.74939564867043,1.023569701853344,165.64756033440776,22.922438706371057,3.663303563434506
